,Vocab,Word
1007,sank,9103
1008,vej,12321
1009,fangen,2358
1010,dyd,1892
1011,hjalp,4504
1012,ejden,2068
1013,overvinde,8173
1014,stærke,10811
1015,djævel,1683
1016,sagde,8977
1017,nej,7685
1018,binde,651
1019,givet,3615
1020,fjendens,2555
1021,trued,11645
1022,soldog,10068
1023,dom,1701
1024,pine,8283
1025,ynked,12980
1026,evighedmin,2277
1027,jammer,5206
1028,elende,2087
1029,tænkte,11902
1030,barmhjertighedog,388
1031,sende,9217
1032,vendte,12389
1033,migog,7207
1034,kosted,5814
1035,derpå,1592
1036,faderligdet,2300
1037,kæreste,6135
1038,havde,4200
1039,talte,11262
1040,forbarme,2749
1041,hjertes,4566
1042,arme,276
1043,nød,7907
1044,dræb,1787
1045,bitre,668
1046,lydig,6655
1047,født,3422
1048,jomfru,5240
1049,ren,8650
1050,klar,5552
1051,broder,1030
1052,vorden,12698
1053,lønlig,6903
1054,førte,3462
1055,liden,6402
1056,pragtfor,8395
1057,djævelen,1684
1058,fange,2355
1059,siger,9285
1060,hid,4408
1061,evigt,2280
1062,gave,3524
1063,led,6314
1064,arv,291
1065,have,4202
1066,bolig,916
1067,fjenden,2554
1068,skille,9511
1069,fast,2404
1070,værn,12878
1071,fjende,2553
1072,leder,6319
1073,alvor,191
1074,vred,12715
1075,argelisthan,268
1076,samler,9035
1077,vist,12659
1078,lige,6416
1079,egen,2050
1080,hjælpe,4591
1081,let,6365
1082,fælde,3359
1083,rette,8675
1084,omgjordet,7986
1085,vælde,12836
1086,sejer,9168
1087,hærskarers,4933
1088,marken,7023
1089,beholde,508
1090,myldred,7440
1091,djævle,1688
1092,jordog,5273
1093,opsluge,8089
1094,frygter,3211
1095,trusler,11651
1096,spilde,10260
1097,rase,8570
1098,drotmed,1772
1099,løgn,6893
1100,mord,7321
1101,spot,10302
1102,få,3323
1103,t,11217
1104,nok,7745
1105,lade,6209
1106,ståog,10794
1107,dertil,1596
1108,utak,12165
1109,herren,4387
1110,gåalt,4027
1111,tage,11225
1112,gods,3760
1113,viv,12663
1114,dem,1546
1115,bringer,1006
1116,beholder,509
1117,takker,11243
1118,gudmed,3956
1119,overflødigt,8159
1120,godtos,3763
1121,uforskyldt,12039
1122,tilsender,11429
1123,livog,6496
1124,første,3458
1125,barndomsstundi,396
1126,levneds,6395
1127,tidvelsigned,11378
1128,mangelund,7000
1129,fremdeles,3090
1130,givefred,3609
1131,frimodighed,3136
1132,ståhos,10787
1133,bønfå,1324
1134,nådeløn,7848
1135,sønog,11196
1136,tilligeske,11421
1137,prisi,8421
1138,himmerige,4472
1139,treenig,11570
1140,varog,12299
1141,digvort,1653
1142,offer,7945
1143,fremvi,3111
1144,bær,1248
1145,ydmygelig,12957
1146,befal,464
1147,veje,12323
1148,vejeog,12327
1149,hjertesorgtil,4570
1150,trofaste,11613
1151,pleje,8332
1152,bor,938
1153,himlens,4437
1154,stormen,10613
1155,hvem,4723
1156,bølgen,1309
1157,lyde,6648
1158,vejen,12325
1159,finde,2504
1160,hvorpå,4786
1161,agte,101
1162,hvis,4767
1163,betragte,600
1164,bestå,573
1165,selvskabt,9211
1166,plagedu,8308
1167,retter,8678
1168,trofasthed,11614
1169,skade,9425
1170,bådede,1209
1171,dødeliges,1969
1172,kår,6096
1173,alting,185
1174,føjedit,3428
1175,føre,3451
1176,steder,10437
1177,midler,7184
1178,fattes,2417
1179,udspreder,12012
1180,standses,10416
1181,fjed,2541
1182,ilemed,5073
1183,bistand,667
1184,helved,4311
1185,magterend,6956
1186,trodse,11600
1187,modstå,7301
1188,agter,102
1189,tilbage,11389
1190,stande,10406
1191,slynger,9881
1192,lynets,6686
1193,pil,8273
1194,vover,12709
1195,forbande,2747
1196,velsigne,12364
1197,kast,5428
1198,smertepå,9933
1199,håb,4844
1200,trøstig,11726
1201,uforsagt,12038
1202,bør,1328
1203,monne,7316
1204,sceptret,9135
1205,bære,1249
1206,æreover,13162
1207,trætte,11713
1208,trælle,11703
1209,fortælledin,2965
1210,øde,13195
1211,slægter,9897
1212,svimle,10944
1213,blandt,703
1214,stjernestimleutallig,10558
1215,vrimle,12719
1216,himleguds,4429
1217,grøde,3920
1218,hald,4121
1219,dal,1446
1220,vige,12488
1221,falde,2319
1222,tillige,11420
1223,fjeld,2546
1224,brat,983
1225,forsvinde,2931
1226,rinde,8720
1227,lemmer,6353
1228,lemmervar,6354
1229,fuld,3266
1230,idel,5029
1231,istemmer,5183
1232,skyen,9686
1233,klang,5541
1234,gengældemed,3558
1235,skat,9459
1236,fortællefra,2966
1237,ungdomsår,12115
1238,skæbne,9733
1239,tilfældemig,11405
1240,ejend,2075
1241,forundring,2976
1242,faldeved,2329
1243,husholdnings,4699
1244,sommerej,10158
1245,vinter,12576
1246,efter,2037
1247,farve,2389
1248,hvid,4736
1249,mandeltræalt,6989
1250,knoppes,5676
1251,knæ,5694
1252,herfra,4356
1253,fædreengang,3345
1254,bedreend,450
1255,fro,3159
1256,gæst,4079
1257,ude,11965
1258,fristet,3152
1259,hjemmet,4527
1260,kirkegrundfæst,5500
1261,dette,1622
1262,sted,10435
1263,udvirkeher,12030
1264,menighed,7104
1265,husi,4700
1266,troskab,11642
1267,vandreog,12237
1268,følge,3441
1269,ordets,8115
1270,kilde,5474
1271,flyde,2653
1272,stopper,10597
1273,folkene,2722
1274,farer,2374
1275,hen,4321
1276,lykkes,6675
1277,sulamit,10855
1278,tagesin,11227
1279,salomon,9020
1280,herlighed,4369
1281,stortog,10625
1282,bevise,618
1283,konger,5764
1284,radi,8536
1285,mægted,7498
1286,bladat,691
1287,sætte,11123
1288,nælde,7877
1289,græs,3909
1290,undrer,12098
1291,påi,8504
1292,skove,9574
1293,dale,1448
1294,skulle,9664
1295,visdom,12637
1296,fåom,3334
1297,mange,6999
1298,fuglesving,3257
1299,skerop,9484
1300,himle,4428
1301,gårblandt,4049
1302,blomsterne,802
1303,fuglesangen,3250
1304,sammenslårsom,9057
1305,harpestrenge,4182
1306,sindi,9334
1307,grundekun,3859
1308,kige,5471
1309,indog,5124
1310,munde,7404
1311,stjerneflokken,10538
1312,blinker,754
1313,mildt,7217
1314,lerog,6362
1315,vinker,12572
1316,optil,8103
1317,ånden,13059
1318,farerog,2375
1319,kæmpetropaf,6125
1320,engleskarer,2197
1321,ordvil,8125
1322,meget,7076
1323,godhed,3750
1324,folk,2708
1325,jordmed,5272
1326,frydetone,3203
1327,sammen,9046
1328,halleluja,4126
1329,ties,11384
1330,bies,630
1331,svage,10886
1332,sind,9328
1333,hente,4346
1334,vente,12410
1335,sommer,10146
1336,trange,11547
1337,skrider,9606
1338,art,287
1339,dagene,1416
1340,længes,6814
1341,vinteren,12585
1342,strenges,10665
1343,svart,10923
1344,turteldue,11766
1345,skue,9648
1346,gærdet,4077
1347,histdér,4494
1348,forsommers,2908
1349,grøn,3929
1350,kvist,6032
1351,hist,4492
1352,eja,2067
1353,søde,11133
1354,førstegrøde,3459
1355,bliden,732
1356,vår,12795
1357,fryse,3213
1358,gyse,4023
1359,snart,10009
1360,forgår,2809
1361,due,1825
1362,udgrunde,11979
